,Date,AMZN,POM,L,A,FMC,PEG,CSCO,PAYX,CHRW,EXPD,SYY,CCI,sp0,sprets0,spmn0,sp_spmn0,spmn_30,sp_spmn_30,spmn_50,sp_spmn_50,spmn_100,sp_spmn_100,spmn_150,sp_spmn_150,spmn_170,sp_spmn_170,spmn_5tau0,sp_stdev0
0,2013-01-02,257.31,9846.1504,41.53,41.88,59.42,30.93,20.34,31.85,63.16,40.9,31.9,75.1,182.21,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
1,2013-01-03,258.48,9692.3096,41.71,42.03,58.91,30.93,20.45,31.9,62.34,41.03,31.76,73.6,184.88000000000002,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
2,2013-01-04,259.15,9692.3096,42.06,42.86,59.13,31.06,20.4819,32.17,63.04,41.82,31.85,73.54,185.60999999999996,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
3,2013-01-07,268.4592,9769.2305,42.11,42.55,59.95,30.62,20.2903,32.02,63.15,41.37,31.76,72.76,195.69920000000002,0.05,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
4,2013-01-08,266.38,9769.2305,42.06,42.21,60.41,30.46,20.31,31.95,63.21,41.08,31.44,72.67,193.70999999999998,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
5,2013-01-09,266.35,9692.3096,42.11,43.35,61.6,30.1,20.3,31.96,64.21,42.16,30.88,72.59,193.76000000000002,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,188.42,1.03,0,0.0
6,2013-01-10,265.34,9923.0801,42.76,43.67,61.86,30.14,20.44,31.85,64.38,42.54,30.95,73.18,192.15999999999997,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,190.73,1.01,0,0.0
7,2013-01-11,267.94,9923.0801,42.65,43.43,61.4,30.12,20.48,31.78,64.54,42.7,30.91,72.78,195.16,0.02,0.0,inf,0.0,inf,0.0,inf,0.0,inf,189.72,1.03,192.19,1.02,0,0.0
8,2013-01-14,272.73,10153.7998,42.54,43.54,61.31,30.01,20.97,32.27,64.8,42.7,31.07,72.94,199.79000000000002,0.02,0.0,inf,0.0,inf,0.0,inf,0.0,inf,191.57,1.04,194.1,1.03,0,0.0
9,2013-01-15,271.9,9769.2305,42.5,43.24,61.16,29.97,20.98,32.08,65.35,42.74,31.21,73.21,198.69,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,193.7,1.03,194.92,1.02,0,0.0
10,2013-01-16,268.93,9846.1504,42.47,43.05,60.83,29.78,21.03,31.95,64.73,42.72,31.15,74.01,194.92000000000002,-0.02,0.0,inf,0.0,inf,0.0,inf,0.0,inf,195.57,1.0,195.91,0.99,0,0.0
