,Date,AMZN,POM,L,A,FMC,PEG,CSCO,PAYX,CHRW,EXPD,SYY,CCI,sp0,sprets0,spmn0,sp_spmn0,spmn_30,sp_spmn_30,spmn_50,sp_spmn_50,spmn_100,sp_spmn_100,spmn_150,sp_spmn_150,spmn_170,sp_spmn_170,spmn_5tau0,sp_stdev0
0,2013-01-02,257.31,9846.1504,41.53,41.88,59.42,30.93,20.34,31.85,63.16,40.9,31.9,75.1,226.38,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
1,2013-01-03,258.48,9692.3096,41.71,42.03,58.91,30.93,20.45,31.9,62.34,41.03,31.76,73.6,227.55,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
2,2013-01-04,259.15,9692.3096,42.06,42.86,59.13,31.06,20.4819,32.17,63.04,41.82,31.85,73.54,228.08999999999997,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
3,2013-01-07,268.4592,9769.2305,42.11,42.55,59.95,30.62,20.2903,32.02,63.15,41.37,31.76,72.76,237.8392,0.04,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
4,2013-01-08,266.38,9769.2305,42.06,42.21,60.41,30.46,20.31,31.95,63.21,41.08,31.44,72.67,235.92,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
5,2013-01-09,266.35,9692.3096,42.11,43.35,61.6,30.1,20.3,31.96,64.21,42.16,30.88,72.59,236.25000000000003,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,231.16,1.02,0,0.0
6,2013-01-10,265.34,9923.0801,42.76,43.67,61.86,30.14,20.44,31.85,64.38,42.54,30.95,73.18,235.2,-0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,233.13,1.01,0,0.0
7,2013-01-11,267.94,9923.0801,42.65,43.43,61.4,30.12,20.48,31.78,64.54,42.7,30.91,72.78,237.82,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,232.46,1.02,234.66,1.01,0,0.0
8,2013-01-14,272.73,10153.7998,42.54,43.54,61.31,30.01,20.97,32.27,64.8,42.7,31.07,72.94,242.72000000000003,0.02,0.0,inf,0.0,inf,0.0,inf,0.0,inf,234.1,1.04,236.61,1.03,0,0.0
9,2013-01-15,271.9,9769.2305,42.5,43.24,61.16,29.97,20.98,32.08,65.35,42.74,31.21,73.21,241.92999999999998,-0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,236.26,1.02,237.58,1.02,0,0.0
10,2013-01-16,268.93,9846.1504,42.47,43.05,60.83,29.78,21.03,31.95,64.73,42.72,31.15,74.01,239.15,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,238.24,1.0,238.78,1.0,0,0.0
11,2013-01-17,270.48,9769.2305,42.73,43.87,60.83,29.79,20.95,32.02,64.88,43.03,31.28,74.0,240.69000000000003,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,238.43,1.01,239.36,1.01,0,0.0
12,2013-01-18,272.12,9769.2305,42.82,44.15,60.61,29.83,21.015,32.38,65.51,42.87,31.47,74.29,242.29000000000002,0.01,0.0,inf,0.0,inf,0.0,inf,235.79,1.03,239.11,1.01,240.46,1.01,0,0.0
13,2013-01-22,270.19,9769.2305,43.39,44.64,61.37,30.35,20.87,32.47,66.07,43.08,31.58,74.76,239.84,-0.01,0.0,inf,0.0,inf,0.0,inf,237.12,1.01,239.97,1.0,241.36,0.99,0,0.0
14,2013-01-23,268.11,9769.2305,43.37,44.3,60.88,30.14,20.62,32.28,65.75,42.98,31.72,75.13,237.97000000000003,-0.01,0.0,inf,0.0,inf,0.0,inf,238.14,1.0,240.63,0.99,240.78,0.99,0,0.0
15,2013-01-24,273.62,9615.3799,43.24,44.66,61.28,30.28,21.02,31.74,67.21,43.19,31.55,74.32,243.34,0.02,0.0,inf,0.0,inf,0.0,inf,238.97,1.02,240.66,1.01,239.99,1.01,0,0.0
16,2013-01-25,283.99,9769.2305,43.47,45.29,61.87,30.53,21.15,31.84,67.19,43.54,31.83,73.45,253.46,0.04,0.0,inf,0.0,inf,0.0,inf,239.43,1.06,240.74,1.05,240.83,1.05,0,0.0
17,2013-01-28,276.04,9846.1504,43.32,45.18,61.38,30.68,21.06,31.95,67.51,43.38,31.7,73.38,245.36,-0.03,0.0,inf,0.0,inf,238.03,1.03,240.89,1.02,242.39,1.01,243.38,1.01,0,0.0
18,2013-01-29,260.35,9846.1504,43.67,44.64,61.79,30.92,20.78,32.58,67.92,43.52,31.77,72.56,229.43,-0.06,0.0,inf,0.0,inf,239.14,0.96,241.65,0.95,243.28,0.94,243.99,0.94,0,0.0
