,Date,MA,VFC,CF,GPS,sp0,sprets0,spmn0,sp_spmn0,spmn_30,sp_spmn_30,spmn_50,sp_spmn_50,spmn_100,sp_spmn_100,spmn_150,sp_spmn_150,spmn_170,sp_spmn_170,spmn_5tau0,sp_stdev0
0,1/2/2014,83.44,62.38,233.69,38.72,194.97,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
1,1/3/2014,83.08,62.11,232.08,39.52,192.56,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
2,1/6/2014,82.66,61.71,228.99,39.05,189.94,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
3,1/7/2014,83.7,61.84,230.46,39.34,191.12,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
4,1/8/2014,83.68,61.67,233.56,39.2,194.36,0.02,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0,0.0
5,1/9/2014,84.36,62.29,239.99,39.42,200.57,0.03,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,192.59,1.04,0,0.0
6,1/10/2014,83.47,62.47,246.16,39.84,206.32,0.03,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0,inf,193.71,1.07,0,0.0
7,1/13/2014,81.0,60.23,244.64,38.25,206.39,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,195.69,1.05,196.46,1.05,0,0.0
8,1/14/2014,82.17,60.44,245.66,37.67,207.99,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,197.32,1.05,199.75,1.04,0,0.0
9,1/15/2014,82.33,60.22,248.43,37.52,210.91,0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,199.53,1.06,203.13,1.04,0,0.0
10,1/16/2014,82.55,59.21,248.45,37.15,211.29999999999998,0.0,0.0,inf,0.0,inf,0.0,inf,0.0,inf,202.52,1.04,206.44,1.02,0,0.0
11,1/17/2014,81.84,58.79,245.81,37.3,208.51,-0.01,0.0,inf,0.0,inf,0.0,inf,0.0,inf,205.41,1.02,208.58,1.0,0,0.0
